"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.SC.01","Ensure that 'Restrict non-admin users from creating tents' is set to 'Yes'","AllowedToCreateTenants = True","FAIL","Yes","Set 'Restrict non-admin users from creating tents' to 'Yes'","N/A"
"AAD.SC.02","Ensure that 'Legacy Authentication' is blocked by at least one of following option:
  - Conditional Access Policy
  - Enforced 'Security Defaults' on tent
or: 
  - Disabled IMAP, SMTP, POP3 protocols in Exchange Online
  - Blocked Legacy Authentication for Sharepoint and OneDrive","Legacy authentication is blocked by Conditional Access or Security Defaults","PASS","All Legacy Authentication protocols are blocked or disabled","1. Create Contitional Access Policy that block all 'Legacy Authentication' protocols
2. Enable 'Security defaults' on tent level
3. Disable POP3, IMAP, SMTP for Exchange and Legacy authentication for Sharepoint and OneDrive","N/A"
"AAD.SC.03","Ensure that 'Users consent for applications' is set to 'Do not allow user consent'","AllowedToGrantConsent = ","FAIL","Do not allow user consent","Set 'Users consent for applications' to 'Do not allow user consent'","N/A"
"AAD.SC.04","Ensure that 'Users can register applications' is set to 'No'","AllowedToCreateApps = True","FAIL","No","Set 'Users can register applications' is set to 'No'","N/A"
"AAD.SC.05","Ensure that 'Guest user access' is set to 'Guest user access is restricted to properties and memberships of their own directory objects (most restrictive)'","Guest user role ID configured: 10dae51f-b6af-4016-8d66-8c2a99b929b3","MANUAL","Guest user access is restricted to properties and memberships of their own directory objects (most restrictive)","Set 'Guest user access' to 'Guest user access is restricted to properties and memberships of their own directory objects (most restrictive)'","N/A"
"AAD.SC.06","Ensure that 'Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users'","AllowInvitesFrom = everyone","FAIL","Only users assigned to specific admin roles can invite guest users","Set 'Guest invite restrictions' to 'Only users assigned to specific admin roles can invite guest users'","N/A"
"AAD.SC.07","Ensure that 'Require write permissions for creating new management groups' is set to 'Yes'","Manual verification required for management group creation permissions","MANUAL","Yes","Set 'Require write permissions for creating new management groups' to 'Yes'","N/A"
"AAD.SC.08","Ensure Security Defaults (only if Conditional Access Policies is disabled)is enabled on Microsoft Entra ID","Enabled CA policies: 0; Security Defaults enabled: True","PASS","Enabled if no conditional access polcies in place","Enable Security Defaults on Azure AD if Conditional Access policies are not in use. In other cases is recommended to disable Security Defaults to avoid conflicts","N/A"
"AAD.SC.09","Ensure that 'Restrict user ability to access groups features in the My Groups' is set to 'Yes'","Manual verification required for My Groups restrictions","MANUAL","Yes","Set 'Restrict user ability to access groups features in the My Groups' to 'Yes'","N/A"
"AAD.SC.10","Ensure that 'Users can create security groups in Azure Portals' is set to 'No'","AllowedToCreateSecurityGroups = True","FAIL","No","Set 'Users can create security groups in Azure Portals, API or PowerShell' to 'No'","N/A"
"AAD.SC.11","Ensure that 'Owners can manage group membership requests in the Access Panel' is set to 'No'","Manual verification required for owner-managed membership requests","MANUAL","No","Set 'Owners can manage group membership requests in the Access Panel' to 'No'","N/A"
"AAD.SC.12","Ensure that 'Users can create Microsoft 365 groups in Azure Portals' is set to 'No'","AllowedToCreateGroups = ; Group.Unified.EnableGroupCreation = ","FAIL","No","Set 'Users can create Microsoft 365 groups in Azure Portals' to 'No' ","N/A"
"AAD.SC.13","Ensure that 'Restrict access to Microsoft Entra ID administration portal' is set to 'Yes'","Manual verification required for Entra admin portal restriction","MANUAL","Yes","Set 'Restrict access to Microsoft Entra ID administration portal' to 'Yes'","N/A"
"AAD.SC.14","Ensure that 'Sign me out when inactive' is set to '1 hour' for Administrative Access to Portal","Manual verification required for administrative session timeout","MANUAL","1 hour","Set 'Sign me out when inactive' is set to '1 hour' for Administrative Access to Portal

The recommendation is a part of Control ID: and AAD.GV.01","N/A"
"AAD.SC.15","Ensure that 'Company Branding' is configured","Company branding is not configured","FAIL","Ask the administrator about company branding guidelines
The Company branding is configured according to the guidelines","'Company branding' should be configured to to prettify the sign-in experience for end-users","N/A"
"AAD.SC.16","Ensure that 'Group lifetime (in days)' settings are configured for Groups","No group lifecycle policy found","FAIL","90 days
Mail provided ","Set 'Group lifetime (in days)' to '90 (days)' and provide an email address where expiration notifications should be sent when a group has no owner.","N/A"
"AAD.SC.17","Ensure that expired domains are removed from tent","0 non-default unverified domains found","PASS","There are no domains that are expired ","N/A","N/A"
"AAD.SC.18","Ensure that 'Allow users to connect their work or school account with LinkedIn' is set to 'No'","Manual verification required for LinkedIn integration setting","MANUAL","N/A","Set 'Allow users to connect their work or school account with LinkedIn' to 'No'","Manual verification required"
