"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.CA.01","Ensure that 'Trusted Locations' are defined","0 trusted named locations found","FAIL","Trusted Locations are defined as the specific IPs, and checked as trusted.
Possible need of acquiring the list of specific IP list before
If there is not a list of IP addresses for trusted locations, possible need of designating specific ones.
","Define 'Trusted Locations'","N/A"
"AAD.CA.02","Ensure that 'Conditional Access' Policies Block Risky Sign-in","0 enabled Conditional Access policies block risky sign-ins","FAIL","Created conditional access policy with appropriate settings","Recommend is to migrate 'Identity Protection Policies' to 'Conditional Access' for the following benefits:
  - Enhanced diagnostic data
  - Report-only mode integration
  - Graph API support
  - Use more 'Conditional Access' attributes like sign-in frequency in the policy","N/A"
"AAD.CA.03","Ensure that exclusions in 'Conditional Access' policies are managed correctly","0 Conditional Access policies contain exclusions","PASS","Confirm who should be excluded, and if the mentioned accounts are excluded in the Exclude tab of the Conditional Access Policies","Ensure that only 'Break Glass Account' is excluded from policies. Every policy should cover all users, applications and device platforms in scope of the policy, or for defined group of users for whom the policy should be applied. Every exclusion from policy should be regularly reviewed, managed (for e.g. define trusted IP address and move to dedicated Conditional Access Policy) and removed if exclusion is no more required.","N/A"
"AAD.CA.04","Ensure that 'Conditional Access' Policies are enforced for all users in scope","0 policies have limited or unclear user scope","PASS","All the Conditional Access policies are assigned to the proper groups and users","Each 'Conditional Access' policy should cover all users in scope of policy. or for defined group of users for whom the policy should be applied.","N/A"
"AAD.CA.05","Ensure that 'Conditional Access' Policies are in use","0 enabled Conditional Access policies found","FAIL","Configured conditional access policies","Consider creating 'Conditional Access' policies or re-enabling Secure Defaults. If the Tent is not licensed for Conditional Access, consider enabling Secure Defaults","N/A"
"AAD.CA.06","Ensure that 'Conditional Access' Policies do not include or explicitly exclude device platforms","0 policies explicitly target or exclude device platforms","PASS","There are no device platforms specified in the 'included' or 'excluded' ","Review existing 'Conditional Access' Policies and determine if all device platforms are accounted for. If device platforms are not accounted for, it is recommended to configure or create policies to target the missing platforms.","N/A"
"AAD.CA.07","Ensure that 'Multifactor authentication' is required for Intune device enrollments","0 enabled policies require MFA for device registration/enrollment","FAIL","1. Created conditional access policy with 'Grant' set to 'Grant access: Require multifactor authentication'
2. Yes","1. Create dedicated 'Conditional Access' that required 'Multifactor Authentication' policy for Intune Device enrollments
2. Set 'Require Multifactor Authentication to register or join devices with Microsoft Entra' to 'Yes' in Microsoft Entra ID -> Devices -> Device setting","N/A"
"AAD.CA.08","Ensure that 'Multifactor authentication' is required for security information registration","0 enabled policies require MFA for security information registration","FAIL","Created conditional access policy with 'Grant' set to 'Grant access: Require multifactor authentication'","Create dedicated 'Conditional Access' that required 'Multifactor Authentication' policy for Security Information Registration","N/A"
"AAD.CA.09","Ensure that 'Conditional Access' Policies do not include or explicitly exclude applications","0 policies include specific applications or exclude applications","PASS","N/A","Review exceptions for users and applications, if needed, keep exclusions please add trusted locations for associated accounts and applications","N/A"
"AAD.CA.10","Ensure that technical/service accounts that are exlcuded from existing Conditional Access policies have defined 'Trusted IP Addresses' and the dedicated conditional access for these accounts is created and enabled  ","0 policies exclude users; 0 exclusions have a potential compensating enabled policy","PASS","Created conditional access policy with appropriate settings","- Add new Trusted Location '[Trusted Location name]' and add [IP from which that account establish connection] IP address as trusted
- Add account to new Security Group 'MFA Technical Accounts' for technical accounts (both with privileged and non-privileged role assignment)
- Add account to Conditional Access policy for technical accounts and exclude trusted location '[Trusted Location name]'.
  or delete exclusion for account in Conditional Access policy '[Policy name]'","N/A"
